2026-03-04 13:18:01 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:01 | ERROR | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Missing test split: /home/xynus/bench/bench_data_cache/all_simple_tiny/C_shift_Rscale_v0/scenario_a66025ff3538/seed_0/test.npz
2026-03-04 13:18:01 | INFO | bench.__main__ | Suite complete summary_csv=/home/xynus/bench/reports/summary_all_simple_tiny.csv manifest=/home/xynus/bench/runs/all_simple_tiny/_manifests/20260304-131801_28d61689.json
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Loaded test split shapes x=(24, 60, 5) y=(24, 60, 5) dims=(N=24,T=60,Dx=5,Dy=5)
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change", "post_shift_R_scale": 3.0, "pre_shift_r2": 0.001, "t0": 30}
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] train first batch
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-196.27880859375 max=299.1949462890625 mean=3.161226272583008 std=40.03944778442383 norm=2782.646728515625 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-199.1490020751953 max=304.37249755859375 mean=6.348008632659912 std=57.1513671875 norm=3983.9130859375 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] val first batch
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-225.95578002929688 max=378.25738525390625 mean=2.3641960620880127 std=35.014156341552734 norm=2431.37548828125 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-229.84263610839844 max=384.039306640625 mean=4.667479038238525 std=50.02413558959961 norm=3480.8271484375 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] test first batch
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-174.58705139160156 max=136.9951171875 mean=0.4554827809333801 std=21.223426818847656 norm=1470.7406005859375 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-177.5104217529297 max=139.16546630859375 mean=0.8383299708366394 std=30.374582290649414 norm=2105.21435546875 nan=0 inf=0
2026-03-04 13:18:27 | INFO | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] setup repo=/home/xynus/bench/third_party/Adaptive-KNet-ICASSP24 class=mnets.KNet_mnet.KalmanNetNN device=cpu x_dim=5 y_dim=5 T=60 layout=bench_BTD_to_repo_BDT_stepwise
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adaptive-KNet hyperparams batch_size=32 lr=5e-05 wd=0.001 knet_trainable=True use_context_mod=False
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adapter ready class=mnets.KNet_mnet.KalmanNetNN layout=bench_BTD_to_repo_BDT_stepwise version=s3_route_b_v1
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Running train phase without cache
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=0 x_t: shape=(16, 5, 1) dtype=float32 min=-0.7582014799118042 max=0.4679666757583618 mean=0.0028918825555592775 std=0.2388763725757599 norm=2.1367316246032715 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=1 x_t: shape=(16, 5, 1) dtype=float32 min=-4.01611328125 max=1.4772496223449707 mean=-0.16695310175418854 std=0.8534016013145447 norm=7.777750492095947 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=2 x_t: shape=(16, 5, 1) dtype=float32 min=-8.437307357788086 max=3.8955130577087402 mean=-0.4723242223262787 std=2.121445894241333 norm=19.439390182495117 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=3 x_t: shape=(16, 5, 1) dtype=float32 min=-16.927932739257812 max=7.200776100158691 mean=-0.9618790745735168 std=4.06150484085083 norm=37.33205795288086 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=a66025ff3538 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=4 x_t: shape=(16, 5, 1) dtype=float32 min=-33.600669860839844 max=11.996465682983398 mean=-1.8137845993041992 std=7.455368518829346 norm=68.62788391113281 nan=0 inf=0
