suite,task_id,scenario_id,seed,model_id,status__untrained__frozen,failure_type__untrained__frozen,failure_stage__untrained__frozen,mse_db__untrained__frozen,recovery_k__untrained__frozen,train_updates_used__untrained__frozen,adapt_updates_used__untrained__frozen,total_time_s__untrained__frozen,cache_hit__untrained__frozen,delta_mse_db_trained_budgeted_minus_frozen,delta_recovery_k_trained_budgeted_minus_frozen
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,adaptive_knet,ok,io_error,data_loading,201.7613435628866,,0,0,0.40489284897921607,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,kalmannet_tsp,ok,io_error,data_loading,143.21716238105773,,0,0,0.47602318800636567,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,maml_knet,ok,io_error,data_loading,85.84344578717527,,0,0,0.20352199499029666,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,mb_kf_nominal,ok,io_error,data_loading,-31.560245967686566,,0,0,0.19987708400003612,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,mb_kf_oracle,ok,io_error,data_loading,-31.560245967686566,,0,0,0.36022531701019034,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,adaptive_knet,ok,io_error,data_loading,inf,,0,0,0.4030498770007398,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,kalmannet_tsp,ok,io_error,data_loading,152.74852138240206,,0,0,0.33560220699291676,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,maml_knet,ok,io_error,data_loading,137.50501567869864,,0,0,0.20380002501769923,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,mb_kf_nominal,ok,io_error,data_loading,-31.53196306432294,,0,0,0.21406236101756804,False,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,mb_kf_oracle,ok,io_error,data_loading,-31.53196306432294,,0,0,0.19634707699879073,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,adaptive_knet,ok,io_error,data_loading,283.6819106362898,40.0,0,0,0.5448816279822495,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,kalmannet_tsp,ok,io_error,data_loading,188.68255577084025,40.0,0,0,0.43958835798548535,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,maml_knet,ok,io_error,data_loading,147.26031222392234,40.0,0,0,0.2653191850113217,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,mb_kf_nominal,ok,io_error,data_loading,-25.9784040419351,40.0,0,0,0.2625121320015751,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,mb_kf_oracle,ok,io_error,data_loading,-27.953125005704003,40.0,0,0,0.25265672997920774,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,adaptive_knet,ok,io_error,data_loading,inf,40.0,0,0,0.556177167018177,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,kalmannet_tsp,ok,io_error,data_loading,205.78032172058133,40.0,0,0,0.4392988100007642,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,maml_knet,ok,io_error,data_loading,265.80486520843095,40.0,0,0,0.26424740100628696,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,mb_kf_nominal,ok,io_error,data_loading,-25.98248844387067,40.0,0,0,0.2687238270009402,False,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,mb_kf_oracle,ok,io_error,data_loading,-28.083731189702718,40.0,0,0,0.25604797698906623,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,adaptive_knet,ok,io_error,data_loading,298.02438319648775,,0,0,0.783936766005354,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,kalmannet_tsp,ok,io_error,data_loading,98.69397105135755,,0,0,0.6684954410011414,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,maml_knet,ok,io_error,data_loading,148.0612941519428,,0,0,0.39751247302046977,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,mb_kf_nominal,ok,io_error,data_loading,12.172407927970252,,0,0,0.3891641710069962,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,mb_kf_oracle,ok,io_error,data_loading,12.172407927970252,,0,0,0.38547583000035957,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,adaptive_knet,ok,io_error,data_loading,171.1526634903738,,0,0,0.7894685170031153,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,kalmannet_tsp,ok,io_error,data_loading,169.21509768535674,,0,0,0.6689085210091434,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,maml_knet,ok,io_error,data_loading,157.13177155745095,,0,0,0.40309243299998343,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,mb_kf_nominal,ok,io_error,data_loading,12.295852625485464,,0,0,0.38128179698833264,False,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,mb_kf_oracle,ok,io_error,data_loading,12.295852625485464,,0,0,0.38747457799036056,False,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,adaptive_knet,ok,io_error,data_loading,138.8495813375313,,0,0,0.40879504999611527,False,,
