2026-03-04 13:18:01 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:01 | ERROR | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Missing test split: /home/xynus/bench/bench_data_cache/all_simple_tiny/C_shift_Rscale_v0/scenario_77512cf2cc1f/seed_0/test.npz
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Loaded test split shapes x=(24, 60, 5) y=(24, 60, 5) dims=(N=24,T=60,Dx=5,Dy=5)
2026-03-04 13:18:27 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change", "post_shift_R_scale": 3.0, "pre_shift_r2": 0.01, "t0": 30}
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] train first batch
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-154.17735290527344 max=270.3370361328125 mean=3.783231496810913 std=34.20588302612305 norm=2384.30419921875 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-157.62551879882812 max=275.481201171875 mean=7.490089416503906 std=48.710792541503906 norm=3414.4462890625 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] val first batch
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-289.0177307128906 max=148.49952697753906 mean=-3.6203994750976562 std=32.079837799072266 norm=2236.665283203125 nan=0 inf=0
2026-03-04 13:18:27 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=77512cf2cc1f model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-294.0667419433594 max=150.75975036621094 mean=-7.161311626434326 std=45.66238021850586 norm=3202.252197265625 nan=0 inf=0
