suite,task_id,scenario_id,seed,model_id,status__untrained__frozen,failure_type__untrained__frozen,failure_stage__untrained__frozen,mse_db__untrained__frozen,recovery_k__untrained__frozen,train_updates_used__untrained__frozen,adapt_updates_used__untrained__frozen,total_time_s__untrained__frozen,cache_hit__untrained__frozen,status__trained__frozen,failure_type__trained__frozen,failure_stage__trained__frozen,mse_db__trained__frozen,recovery_k__trained__frozen,train_updates_used__trained__frozen,adapt_updates_used__trained__frozen,total_time_s__trained__frozen,cache_hit__trained__frozen,status__trained__budgeted,failure_type__trained__budgeted,failure_stage__trained__budgeted,mse_db__trained__budgeted,recovery_k__trained__budgeted,train_updates_used__trained__budgeted,adapt_updates_used__trained__budgeted,total_time_s__trained__budgeted,cache_hit__trained__budgeted,status__unknown__frozen,failure_type__unknown__frozen,failure_stage__unknown__frozen,mse_db__unknown__frozen,recovery_k__unknown__frozen,train_updates_used__unknown__frozen,adapt_updates_used__unknown__frozen,total_time_s__unknown__frozen,cache_hit__unknown__frozen,delta_mse_db_trained_budgeted_minus_frozen,delta_recovery_k_trained_budgeted_minus_frozen
shift,C_shift_Rscale_v0,080cb40977a4,0,adaptive_knet,,,,,,,,,,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,080cb40977a4,0,kalmannet_tsp,,,,,,,,,,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,080cb40977a4,0,my_model,,,,,,,,,,failed,runtime_error,runner,,,,,,False,failed,runtime_error,runner,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,0,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,0,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,1,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,1,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,2,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,2,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,1,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,1,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,1,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,2,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,2,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,2,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,999,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,4c92537d0279,0,adaptive_knet,,,,,,,,,,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,ok,,,inf,0.0,,,2.7731380220029678,,,
shift,C_shift_Rscale_v0,4c92537d0279,0,kalmannet_tsp,ok,,,151.07521974908775,100.0,0,0,2.8905011150054634,False,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,4c92537d0279,0,maml_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,,,nan,100.0,,,1.695713483990403,,,
shift,C_shift_Rscale_v0,4c92537d0279,0,my_model,,,,,,,,,,failed,runtime_error,runner,,,,,,False,failed,runtime_error,runner,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,0,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,0,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,1,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,1,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,2,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,2,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,1,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,1,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,1,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,2,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,2,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,2,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,999,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,0,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,1,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,1,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,1,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,2,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,2,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,2,my_model,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,999,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,0,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,0,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,1,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,1,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,2,adaptive_knet,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,2,kalmannet_tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_data,,,,,,,,,,
shift,C_shift_Rscale_v0,ff58a3daaa87,0,adaptive_knet,,,,,,,,,,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,ff58a3daaa87,0,kalmannet_tsp,,,,,,,,,,failed,runtime_error,train,,,,,,False,failed,runtime_error,train,,,,,,False,,,,,,,,,,,
shift,C_shift_Rscale_v0,ff58a3daaa87,0,my_model,,,,,,,,,,failed,runtime_error,runner,,,,,,False,failed,runtime_error,runner,,,,,,False,,,,,,,,,,,
