suite,task_id,model_id,init_id,track_id,failure_type,fail_count,n_total,fail_rate
shift,C_shift_Rscale_v0,adaptive_knet,trained,budgeted,io_error,6,12,0.5
shift,C_shift_Rscale_v0,adaptive_knet,trained,budgeted,runtime_error,3,12,0.25
shift,C_shift_Rscale_v0,adaptive_knet,trained,budgeted,train_nan,3,12,0.25
shift,C_shift_Rscale_v0,adaptive_knet,trained,frozen,io_error,6,9,0.6666666666666666
shift,C_shift_Rscale_v0,adaptive_knet,trained,frozen,runtime_error,3,9,0.3333333333333333
shift,C_shift_Rscale_v0,adaptive_knet,unknown,frozen,unknown,9,10,0.9
shift,C_shift_Rscale_v0,adaptive_knet,untrained,frozen,io_error,3,3,1.0
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,budgeted,io_error,6,9,0.6666666666666666
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,budgeted,runtime_error,3,9,0.3333333333333333
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,frozen,io_error,6,9,0.6666666666666666
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,frozen,runtime_error,3,9,0.3333333333333333
shift,C_shift_Rscale_v0,kalmannet_tsp,unknown,frozen,unknown,10,10,1.0
shift,C_shift_Rscale_v0,kalmannet_tsp,untrained,frozen,,0,1,0.0
shift,C_shift_Rscale_v0,maml_knet,unknown,frozen,,0,1,0.0
shift,C_shift_Rscale_v0,my_model,trained,budgeted,io_error,6,9,0.6666666666666666
shift,C_shift_Rscale_v0,my_model,trained,budgeted,runtime_error,3,9,0.3333333333333333
shift,C_shift_Rscale_v0,my_model,trained,frozen,io_error,6,9,0.6666666666666666
shift,C_shift_Rscale_v0,my_model,trained,frozen,runtime_error,3,9,0.3333333333333333
