suite,task_id,model_id,init_id,track_id,n_total,n_success,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate
shift,C_shift_Rscale_v0,adaptive_knet,trained,budgeted,12,0,,,,,,,,,,,,,,,0.0,,
shift,C_shift_Rscale_v0,adaptive_knet,trained,frozen,9,0,,,,,,,,,,,,,,,0.0,,
shift,C_shift_Rscale_v0,adaptive_knet,unknown,frozen,10,1,,,2.7731380220029678,2.7731380220029678,,,2.7731380220029678,2.7731380220029678,,,,,0.0,0.0,,,
shift,C_shift_Rscale_v0,adaptive_knet,untrained,frozen,3,0,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,budgeted,9,0,,,,,,,,,,,,,,,0.0,,
shift,C_shift_Rscale_v0,kalmannet_tsp,trained,frozen,9,0,,,,,,,,,,,,,,,0.0,,
shift,C_shift_Rscale_v0,kalmannet_tsp,unknown,frozen,10,0,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,kalmannet_tsp,untrained,frozen,1,1,,,2.8905011150054634,2.8905011150054634,,,2.8905011150054634,2.8905011150054634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
shift,C_shift_Rscale_v0,maml_knet,unknown,frozen,1,1,,,1.695713483990403,1.695713483990403,,,1.695713483990403,1.695713483990403,,,,,0.0,0.0,,,
shift,C_shift_Rscale_v0,my_model,trained,budgeted,9,0,,,,,,,,,,,,,,,0.0,,
shift,C_shift_Rscale_v0,my_model,trained,frozen,9,0,,,,,,,,,,,,,,,0.0,,
