suite,task_id,model_id,init_id,track_id,n_total,n_success,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_0,oracle_kf,pretrained,frozen,1,1,,,0.7210451329883654,0.7210451329883654,,,0.7210451329883654,0.7210451329883654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_20,oracle_kf,pretrained,frozen,1,1,,,0.7271906289970502,0.7271906289970502,,,0.7271906289970502,0.7271906289970502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_40,oracle_kf,pretrained,frozen,1,1,,,0.7735350000002654,0.7735350000002654,,,0.7735350000002654,0.7735350000002654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_m5,oracle_kf,pretrained,frozen,1,1,,,0.7270352050109068,0.7270352050109068,,,0.7270352050109068,0.7270352050109068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_0,oracle_kf,pretrained,frozen,1,1,,,0.6691625499952352,0.6691625499952352,,,0.6691625499952352,0.6691625499952352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_20,oracle_kf,pretrained,frozen,1,1,,,0.6321915159933269,0.6321915159933269,,,0.6321915159933269,0.6321915159933269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_40,oracle_kf,pretrained,frozen,1,1,,,0.6440266689896816,0.6440266689896816,,,0.6440266689896816,0.6440266689896816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_m5,oracle_kf,pretrained,frozen,1,1,,,0.6714193689986132,0.6714193689986132,,,0.6714193689986132,0.6714193689986132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_0,oracle_kf,pretrained,frozen,1,1,,,1.2928002910048235,1.2928002910048235,,,1.2928002910048235,1.2928002910048235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_20,oracle_kf,pretrained,frozen,1,1,,,1.3159066689986503,1.3159066689986503,,,1.3159066689986503,1.3159066689986503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_40,oracle_kf,pretrained,frozen,1,1,,,1.3597184889949858,1.3597184889949858,,,1.3597184889949858,1.3597184889949858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_m5,oracle_kf,pretrained,frozen,1,1,,,1.3696963139955187,1.3696963139955187,,,1.3696963139955187,1.3696963139955187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_0,oracle_kf,pretrained,frozen,1,1,,,0.3199279280088376,0.3199279280088376,,,0.3199279280088376,0.3199279280088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_20,oracle_kf,pretrained,frozen,1,1,,,0.34264118899591267,0.34264118899591267,,,0.34264118899591267,0.34264118899591267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_40,oracle_kf,pretrained,frozen,1,1,,,0.3304954409977654,0.3304954409977654,,,0.3304954409977654,0.3304954409977654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_m5,oracle_kf,pretrained,frozen,1,1,,,0.5153372709901305,0.5153372709901305,,,0.5153372709901305,0.5153372709901305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_0,oracle_kf,pretrained,frozen,1,1,,,1.086935718994937,1.086935718994937,,,1.086935718994937,1.086935718994937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_20,oracle_kf,pretrained,frozen,1,1,,,1.0794123749947175,1.0794123749947175,,,1.0794123749947175,1.0794123749947175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_40,oracle_kf,pretrained,frozen,1,1,,,1.0712698219867889,1.0712698219867889,,,1.0712698219867889,1.0712698219867889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_m5,oracle_kf,pretrained,frozen,1,1,,,1.0764673030062113,1.0764673030062113,,,1.0764673030062113,1.0764673030062113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
