suite,task_id,scenario_id,seed,model_id,status__pretrained__frozen,failure_type__pretrained__frozen,failure_stage__pretrained__frozen,mse_db__pretrained__frozen,recovery_k__pretrained__frozen,train_updates_used__pretrained__frozen,adapt_updates_used__pretrained__frozen,total_time_s__pretrained__frozen,cache_hit__pretrained__frozen,delta_mse_db_trained_budgeted_minus_frozen,delta_recovery_k_trained_budgeted_minus_frozen
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_0,eeea7dcbcfbe,0,oracle_kf,ok,io_error,data_loading,-1.144935963598674,,0,0,0.7210451329883654,False,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_20,4e6024226cd9,0,oracle_kf,ok,io_error,data_loading,-21.035243734062377,,0,0,0.7271906289970502,False,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_40,de066e87989f,0,oracle_kf,ok,io_error,data_loading,-41.109178705557305,,0,0,0.7735350000002654,False,,
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_m5,317f74cdf769,0,oracle_kf,ok,io_error,data_loading,3.813015436417358,,0,0,0.7270352050109068,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_0,a96976550fb9,0,oracle_kf,ok,io_error,data_loading,-1.9153864901725735,,0,0,0.6691625499952352,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_20,0a0cad7fc11e,0,oracle_kf,ok,io_error,data_loading,-21.876347857506055,,0,0,0.6321915159933269,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_40,611063532503,0,oracle_kf,ok,io_error,data_loading,-41.87769427115497,,0,0,0.6440266689896816,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_m5,782ffdd24d15,0,oracle_kf,ok,io_error,data_loading,2.939196026979255,,0,0,0.6714193689986132,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_0,afa7453d17b0,0,oracle_kf,ok,io_error,data_loading,-1.9473963696735122,,0,0,1.2928002910048235,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_20,cae8805fedd5,0,oracle_kf,ok,io_error,data_loading,-21.896539316214003,,0,0,1.3159066689986503,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_40,c8c4fa9d43ac,0,oracle_kf,ok,io_error,data_loading,-41.894092978343096,,0,0,1.3597184889949858,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_m5,9183e76fe2fd,0,oracle_kf,ok,io_error,data_loading,3.0868388523010903,,0,0,1.3696963139955187,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_0,625903575958,0,oracle_kf,ok,io_error,data_loading,-1.8419037942595509,,0,0,0.3199279280088376,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_20,f692e87e9476,0,oracle_kf,ok,io_error,data_loading,-21.86553250663446,,0,0,0.34264118899591267,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_40,e2daa683b9e2,0,oracle_kf,ok,io_error,data_loading,-41.88126523665506,,0,0,0.3304954409977654,False,,
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_m5,e1069fe81c00,0,oracle_kf,ok,io_error,data_loading,3.05925244442747,,0,0,0.5153372709901305,False,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_0,f3c6d77b066d,0,oracle_kf,ok,io_error,data_loading,-1.248019766868906,,0,0,1.086935718994937,False,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_20,24ebbefff5be,0,oracle_kf,ok,io_error,data_loading,-21.20619996111534,,0,0,1.0794123749947175,False,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_40,a87271e662ff,0,oracle_kf,ok,io_error,data_loading,-41.21301640082147,,0,0,1.0712698219867889,False,,
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_m5,47da88ed8bea,0,oracle_kf,ok,io_error,data_loading,3.7146192563412317,,0,0,1.0764673030062113,False,,
