suite,task_id,model_id,init_id,track_id,failure_type,fail_count,n_total,fail_rate
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_0,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_20,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_40,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m10n10_T100_invR2db_m5,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_0,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_20,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_40,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T100_invR2db_m5,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_0,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_20,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_40,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T200_invR2db_m5,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_0,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_20,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_40,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m2n2_T50_invR2db_m5,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_0,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_20,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_40,oracle_kf,pretrained,frozen,,0,1,0.0
fig5a_knet_vs_kf_real,F5a_m5n5_T150_invR2db_m5,oracle_kf,pretrained,frozen,,0,1,0.0
