suite,task_id,scenario_id,model_id,seed,init_id,track_id,track,status,failure_type,failure_stage,mse,mse_db,rmse,x_dim,y_dim,T,q2,r2,inv_r2_db,nll,recovery_k,t0,severity_r_scale,timing_ms_per_step,train_time_s,eval_time_s,adapt_time_s,total_time_s,train_updates_used,adapt_updates_used,adapt_updates_per_step_max,train_max_updates,adapt_max_updates,adapt_max_updates_per_step,cache_enabled,cache_hit,train_skipped,cache_key,run_dir,error
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,0,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/adaptive_knet/frozen/seed_0/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_0/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,1,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/adaptive_knet/frozen/seed_1/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_1/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,2,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/adaptive_knet/frozen/seed_2/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_2/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,1,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,adaptive_knet,2,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,0,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/kalmannet_tsp/frozen/seed_0/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_0/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,1,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/kalmannet_tsp/frozen/seed_1/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_1/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,2,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/kalmannet_tsp/frozen/seed_2/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_2/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,1,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,kalmannet_tsp,2,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,0,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/maml_knet/frozen/seed_0/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_0/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,1,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/maml_knet/frozen/seed_1/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_1/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,2,trained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/linear_multimodel_compare/A_linear_stationary_compare_v0/maml_knet/frozen/seed_2/scenario_f9b05a54f68a,missing_data: expected test split at /home/xynus/bench/bench_data_cache/linear_multimodel_compare/A_linear_stationary_compare_v0/scenario_f9b05a54f68a/seed_2/test.npz
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,1,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,f9b05a54f68a,maml_knet,2,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
