suite,task_id,model_id,init_id,track_id,failure_type,fail_count,n_total,fail_rate
linear_multimodel_compare,A_linear_stationary_compare_v0,adaptive_knet,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,kalmannet_tsp,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,maml_knet,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,nominal_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,oracle_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,oracle_shift_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,A_linear_stationary_compare_v0,split_knet,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,adaptive_knet,trained,budgeted,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,adaptive_knet,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,kalmannet_tsp,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,maml_knet,trained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,nominal_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,oracle_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,oracle_shift_kf,pretrained,frozen,io_error,3,3,1.0
linear_multimodel_compare,B_linear_shift_compare_v0,split_knet,trained,frozen,io_error,3,3,1.0
