2026-03-04 13:39:44 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:44 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:44 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-440.35882568359375 max=266.981689453125 mean=-3.722188949584961 std=45.65795135498047 norm=5794.484375 nan=0 inf=0
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-443.8856506347656 max=269.2568054199219 mean=-7.4463067054748535 std=64.8372573852539 norm=8255.244140625 nan=0 inf=0
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-377.666259765625 max=336.7096252441406 mean=1.2901948690414429 std=49.08757400512695 norm=6211.28515625 nan=0 inf=0
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-380.93975830078125 max=339.9656677246094 mean=2.5638110637664795 std=69.90357208251953 norm=8848.1240234375 nan=0 inf=0
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-191.98626708984375 max=568.9403076171875 mean=4.015560150146484 std=47.17374038696289 norm=5988.63720703125 nan=0 inf=0
2026-03-04 13:39:44 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-193.55894470214844 max=574.89990234375 mean=8.010231018066406 std=66.96590423583984 norm=8530.974609375 nan=0 inf=0
2026-03-04 13:39:44 | INFO | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] setup mode=nominal device=cuda x_dim=5 y_dim=5 t0_shift=None R_scale=1.0 layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:44 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Adapter ready class=bench.models.mb_kf:ModelBasedKFAdapter layout=bench_BTD_to_repo_BTD version=s10_kf_baseline_v1
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] predict input shape=(32, 100, 5) mode=nominal layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=0 x_post: shape=(32, 5, 1) dtype=float32 min=-2.6796884536743164 max=2.3070905208587646 mean=0.08591793477535248 std=0.902794599533081 norm=11.471146583557129 nan=0 inf=0 innov_norm=16.192523956298828 K_norm=16.881052017211914
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=1 x_post: shape=(32, 5, 1) dtype=float32 min=-2.7125563621520996 max=6.506543159484863 mean=0.1741262972354889 std=1.3074681758880615 norm=16.684329986572266 nan=0 inf=0 innov_norm=0.8721886277198792 K_norm=9.443419456481934
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=2 x_post: shape=(32, 5, 1) dtype=float32 min=-4.769804954528809 max=11.502013206481934 mean=0.2601775527000427 std=2.021944284439087 norm=25.786666870117188 nan=0 inf=0 innov_norm=0.8525184988975525 K_norm=8.145623207092285
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=3 x_post: shape=(32, 5, 1) dtype=float32 min=-6.853336811065674 max=16.52306365966797 mean=0.3476467728614807 std=2.8193821907043457 norm=35.932769775390625 nan=0 inf=0 innov_norm=0.7954309582710266 K_norm=7.7866363525390625
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=4 x_post: shape=(32, 5, 1) dtype=float32 min=-8.83857250213623 max=22.21656608581543 mean=0.43386411666870117 std=3.644092559814453 norm=46.42007827758789 nan=0 inf=0 innov_norm=0.7103117108345032 K_norm=7.6677069664001465
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=5 x_post: shape=(32, 5, 1) dtype=float32 min=-10.69864273071289 max=27.88559341430664 mean=0.5216764807701111 std=4.475326061248779 norm=56.9921989440918 nan=0 inf=0 innov_norm=0.8219664096832275 K_norm=7.62445068359375
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=6 x_post: shape=(32, 5, 1) dtype=float32 min=-12.56075382232666 max=33.57353210449219 mean=0.6038093566894531 std=5.3183112144470215 norm=67.70408630371094 nan=0 inf=0 innov_norm=0.685434103012085 K_norm=7.608011245727539
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=7 x_post: shape=(32, 5, 1) dtype=float32 min=-14.459421157836914 max=39.16194534301758 mean=0.691901445388794 std=6.155634880065918 norm=78.35363006591797 nan=0 inf=0 innov_norm=0.9812422394752502 K_norm=7.601649284362793
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=8 x_post: shape=(32, 5, 1) dtype=float32 min=-16.311073303222656 max=44.76507568359375 mean=0.7745621800422668 std=6.993093967437744 norm=88.99736022949219 nan=0 inf=0 innov_norm=0.8330590724945068 K_norm=7.599170207977295
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=9 x_post: shape=(32, 5, 1) dtype=float32 min=-18.507471084594727 max=50.28915023803711 mean=0.8548257946968079 std=7.8278374671936035 norm=99.60382080078125 nan=0 inf=0 innov_norm=0.8443730473518372 K_norm=7.598202228546143
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=10 x_post: shape=(32, 5, 1) dtype=float32 min=-20.692827224731445 max=55.83488845825195 mean=0.9341786503791809 std=8.660058975219727 norm=110.17753601074219 nan=0 inf=0 innov_norm=0.7429962754249573 K_norm=7.5978240966796875
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=11 x_post: shape=(32, 5, 1) dtype=float32 min=-22.902036666870117 max=61.476768493652344 mean=1.0167145729064941 std=9.504064559936523 norm=120.90390014648438 nan=0 inf=0 innov_norm=0.7385213375091553 K_norm=7.5976762771606445
2026-03-04 13:39:44 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=fd75d1016844 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=12 x_post: shape=(32, 5, 1) dtype=float32 min=-25.145225524902344 max=67.12950134277344 mean=1.0970302820205688 std=10.341682434082031 norm=131.54701232910156 nan=0 inf=0 innov_norm=0.88517826795578 K_norm=7.597618103027344
