2026-03-04 13:18:01 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:01 | ERROR | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Missing test split: /home/xynus/bench/bench_data_cache/all_simple_tiny/C_shift_Rscale_v0/scenario_582474f2e1b2/seed_0/test.npz
2026-03-04 13:18:25 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:25 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Loaded test split shapes x=(24, 60, 5) y=(24, 60, 5) dims=(N=24,T=60,Dx=5,Dy=5)
2026-03-04 13:18:25 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change", "post_shift_R_scale": 3.0, "pre_shift_r2": 0.1, "t0": 30}
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] train first batch
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-324.8354797363281 max=182.39865112304688 mean=-0.13397134840488434 std=31.818401336669922 norm=2204.463134765625 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-330.1246337890625 max=184.92388916015625 mean=-0.20251382887363434 std=45.5601921081543 norm=3156.533935546875 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] val first batch
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-232.92628479003906 max=261.1808776855469 mean=2.9832589626312256 std=32.01442337036133 norm=2227.633544921875 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-237.28201293945312 max=265.41949462890625 mean=5.979130744934082 std=45.64332962036133 norm=3189.279541015625 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] test first batch
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-222.21292114257812 max=117.90214538574219 mean=-3.3302953243255615 std=25.422176361083984 norm=1776.3485107421875 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-225.64138793945312 max=120.33061218261719 mean=-6.700262546539307 std=36.078094482421875 norm=2542.303466796875 nan=0 inf=0
2026-03-04 13:18:25 | INFO | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] setup repo=/home/xynus/bench/third_party/Adaptive-KNet-ICASSP24 class=mnets.KNet_mnet.KalmanNetNN device=cpu x_dim=5 y_dim=5 T=60 layout=bench_BTD_to_repo_BDT_stepwise
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adaptive-KNet hyperparams batch_size=32 lr=5e-05 wd=0.001 knet_trainable=True use_context_mod=False
2026-03-04 13:18:25 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adapter ready class=mnets.KNet_mnet.KalmanNetNN layout=bench_BTD_to_repo_BDT_stepwise version=s3_route_b_v1
2026-03-04 13:18:25 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Running train phase without cache
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=0 x_t: shape=(16, 5, 1) dtype=float32 min=-0.6782960891723633 max=0.5708737373352051 mean=-0.024333585053682327 std=0.2139989137649536 norm=1.9263988733291626 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=1 x_t: shape=(16, 5, 1) dtype=float32 min=-1.7597897052764893 max=1.3259228467941284 mean=-0.149761363863945 std=0.6023932099342346 norm=5.551980018615723 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=2 x_t: shape=(16, 5, 1) dtype=float32 min=-3.5831573009490967 max=2.3077750205993652 mean=-0.36908766627311707 std=1.1928197145462036 norm=11.167970657348633 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=3 x_t: shape=(16, 5, 1) dtype=float32 min=-7.740373611450195 max=3.6377816200256348 mean=-0.8387460708618164 std=2.039072275161743 norm=19.720672607421875 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=4 x_t: shape=(16, 5, 1) dtype=float32 min=-11.839064598083496 max=5.3257622718811035 mean=-1.5385825634002686 std=3.530351400375366 norm=34.44487380981445 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=5 x_t: shape=(16, 5, 1) dtype=float32 min=-25.63260269165039 max=8.341255187988281 mean=-2.575854539871216 std=6.011188983917236 norm=58.49404525756836 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=6 x_t: shape=(16, 5, 1) dtype=float32 min=-61.571163177490234 max=19.608116149902344 mean=-4.432642936706543 std=11.551033973693848 norm=110.66154479980469 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=7 x_t: shape=(16, 5, 1) dtype=float32 min=-126.6346435546875 max=30.886783599853516 mean=-7.496374607086182 std=21.566287994384766 norm=204.2156524658203 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=8 x_t: shape=(16, 5, 1) dtype=float32 min=-239.996337890625 max=42.063724517822266 mean=-12.549474716186523 std=39.01142501831055 norm=366.5384521484375 nan=0 inf=0
2026-03-04 13:18:25 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=582474f2e1b2 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=9 x_t: shape=(16, 5, 1) dtype=float32 min=-429.4500427246094 max=63.58298110961914 mean=-20.217350006103516 std=67.27745819091797 norm=628.3309936523438 nan=0 inf=0
