2026-03-04 13:18:01 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:01 | ERROR | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Missing test split: /home/xynus/bench/bench_data_cache/all_simple_tiny/C_shift_Rscale_v0/scenario_f3b22f6f7191/seed_0/test.npz
2026-03-04 13:18:23 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:23 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Loaded test split shapes x=(24, 60, 5) y=(24, 60, 5) dims=(N=24,T=60,Dx=5,Dy=5)
2026-03-04 13:18:23 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change", "post_shift_R_scale": 3.0, "pre_shift_r2": 1.0, "t0": 30}
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] train first batch
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-220.22425842285156 max=190.49656677246094 mean=0.4719580113887787 std=32.09553909301758 norm=2223.884521484375 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-222.03172302246094 max=193.1270294189453 mean=0.9638863205909729 std=45.97572708129883 norm=3185.991943359375 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] val first batch
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-171.5658416748047 max=265.6039123535156 mean=2.3888542652130127 std=31.088329315185547 norm=2160.2119140625 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-173.3568115234375 max=270.7911682128906 mean=4.788580894470215 std=44.46282958984375 norm=3098.288818359375 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] test first batch
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-206.92481994628906 max=166.87486267089844 mean=0.7511258721351624 std=24.845035552978516 norm=1722.10107421875 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-208.09970092773438 max=169.7532958984375 mean=1.5701080560684204 std=35.59872055053711 norm=2468.749267578125 nan=0 inf=0
2026-03-04 13:18:23 | INFO | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] setup repo=/home/xynus/bench/third_party/Adaptive-KNet-ICASSP24 class=mnets.KNet_mnet.KalmanNetNN device=cpu x_dim=5 y_dim=5 T=60 layout=bench_BTD_to_repo_BDT_stepwise
2026-03-04 13:18:23 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adaptive-KNet hyperparams batch_size=32 lr=5e-05 wd=0.001 knet_trainable=True use_context_mod=False
2026-03-04 13:18:23 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Adapter ready class=mnets.KNet_mnet.KalmanNetNN layout=bench_BTD_to_repo_BDT_stepwise version=s3_route_b_v1
2026-03-04 13:18:23 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Running train phase without cache
2026-03-04 13:18:23 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=0 x_t: shape=(16, 5, 1) dtype=float32 min=-1.1780890226364136 max=0.971052885055542 mean=-0.023321932181715965 std=0.41281867027282715 norm=3.6982498168945312 nan=0 inf=0
2026-03-04 13:18:23 | DEBUG | bench.models.adaptive_knet | [task_id=C_shift_Rscale_v0 scenario_id=f3b22f6f7191 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] forward t=1 x_t: shape=(16, 5, 1) dtype=float32 min=-3.5434234142303467 max=2.9968881607055664 mean=-0.11805415153503418 std=1.0967270135879517 norm=9.866090774536133 nan=0 inf=0
