2026-03-04 13:39:31 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:31 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:31 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-504.9333190917969 max=321.5397033691406 mean=-7.269211292266846 std=50.01646423339844 norm=6393.10546875 nan=0 inf=0
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-510.78125 max=325.29962158203125 mean=-14.505098342895508 std=70.55772399902344 norm=9111.5654296875 nan=0 inf=0
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-390.9534912109375 max=399.8619689941406 mean=-5.004724502563477 std=53.66231918334961 norm=6817.26171875 nan=0 inf=0
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-395.42547607421875 max=404.28436279296875 mean=-9.98255729675293 std=76.13618469238281 norm=9712.9755859375 nan=0 inf=0
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:31 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=eb80d13a14d9 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-663.1796264648438 max=373.982421875 mean=-2.862121105194092 std=59.17567443847656 norm=7493.94580078125 nan=0 inf=0
