2026-03-04 13:39:39 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:40 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:40 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-480.59326171875 max=626.6244506835938 mean=-0.07037805020809174 std=56.84183120727539 norm=7189.9912109375 nan=0 inf=0
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-484.623779296875 max=632.8508911132812 mean=-0.1629609316587448 std=80.98799133300781 norm=10244.2802734375 nan=0 inf=0
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-577.4326171875 max=533.9901123046875 mean=7.242632865905762 std=65.05780792236328 norm=8280.0703125 nan=0 inf=0
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-585.0198364257812 max=539.7521362304688 mean=14.421280860900879 std=92.14781188964844 norm=11797.7568359375 nan=0 inf=0
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-440.4820251464844 max=501.4222717285156 mean=1.0978987216949463 std=65.43508911132812 norm=8278.1201171875 nan=0 inf=0
2026-03-04 13:39:40 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-446.29730224609375 max=504.12353515625 mean=2.203701972961426 std=93.18499755859375 norm=11790.3671875 nan=0 inf=0
2026-03-04 13:39:40 | INFO | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] setup mode=nominal device=cuda x_dim=5 y_dim=5 t0_shift=None R_scale=1.0 layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:40 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=6342acad14a9 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Adapter ready class=bench.models.mb_kf:ModelBasedKFAdapter layout=bench_BTD_to_repo_BTD version=s10_kf_baseline_v1
