2026-03-04 13:39:47 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:47 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] Set CUBLAS_WORKSPACE_CONFIG=:4096:8 for deterministic CUDA
2026-03-04 13:39:47 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:47 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] x: shape=(30, 100, 5) dtype=float32 min=-240.40830993652344 max=359.00128173828125 mean=1.5583099126815796 std=34.84657287597656 norm=4272.0810546875 nan=0 inf=0
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] y: shape=(30, 100, 5) dtype=float32 min=-243.47166442871094 max=362.7586669921875 mean=3.027406930923462 std=49.674251556396484 norm=6095.11572265625 nan=0 inf=0
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-526.503662109375 max=258.0679626464844 mean=-7.224045276641846 std=52.72273254394531 norm=6731.26806640625 nan=0 inf=0
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-528.676025390625 max=260.82537841796875 mean=-14.462057113647461 std=74.45738220214844 norm=9594.2080078125 nan=0 inf=0
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-439.21856689453125 max=315.8969421386719 mean=-7.720253944396973 std=53.19749069213867 norm=6799.5 nan=0 inf=0
2026-03-04 13:39:47 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-440.7507629394531 max=318.3961181640625 mean=-15.388925552368164 std=75.04656982421875 norm=9690.2470703125 nan=0 inf=0
2026-03-04 13:39:48 | INFO | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] setup repo=/home/xynus/bench/third_party/KalmanNet_TSP class=KalmanNetNN device=cuda x_dim=5 y_dim=5 T=100 layout=bench_BTD_to_repo_BDT_stepwise
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] KalmanNet_TSP hyperparams batch_size=30 lr=0.0001 wd=0.001
2026-03-04 13:39:48 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] Adapter ready class=KalmanNetNN layout=bench_BTD_to_repo_BDT_stepwise version=s2_route_b_v1
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=0 x_t: shape=(32, 5, 1) dtype=float32 min=-1.421863079071045 max=1.4449776411056519 mean=-0.0015575692523270845 std=0.4628261923789978 norm=5.854372978210449 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=1 x_t: shape=(32, 5, 1) dtype=float32 min=-3.8659439086914062 max=3.6343162059783936 mean=0.01608774997293949 std=0.9279183149337769 norm=11.739104270935059 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=2 x_t: shape=(32, 5, 1) dtype=float32 min=-4.1899495124816895 max=8.133042335510254 mean=-0.03853275626897812 std=1.5018764734268188 norm=19.003652572631836 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=3 x_t: shape=(32, 5, 1) dtype=float32 min=-7.907163143157959 max=12.516206741333008 mean=-0.19448696076869965 std=2.2164206504821777 norm=28.143478393554688 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=4 x_t: shape=(32, 5, 1) dtype=float32 min=-13.494925498962402 max=16.633670806884766 mean=-0.4440383017063141 std=3.112112283706665 norm=39.76413345336914 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=5 x_t: shape=(32, 5, 1) dtype=float32 min=-19.20233917236328 max=19.71963882446289 mean=-0.7486027479171753 std=4.195176601409912 norm=53.90349197387695 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=6 x_t: shape=(32, 5, 1) dtype=float32 min=-25.443279266357422 max=21.492223739624023 mean=-1.108121633529663 std=5.449068546295166 norm=70.33665466308594 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=7 x_t: shape=(32, 5, 1) dtype=float32 min=-31.399036407470703 max=24.718610763549805 mean=-1.3880844116210938 std=6.808823108673096 norm=87.8970718383789 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=8 x_t: shape=(32, 5, 1) dtype=float32 min=-36.509212493896484 max=27.61396026611328 mean=-1.6200107336044312 std=8.226005554199219 norm=106.05024719238281 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=9 x_t: shape=(32, 5, 1) dtype=float32 min=-42.36792755126953 max=29.943687438964844 mean=-1.8104159832000732 std=9.50729751586914 norm=122.41981506347656 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=10 x_t: shape=(32, 5, 1) dtype=float32 min=-48.34487533569336 max=32.755218505859375 mean=-1.9197676181793213 std=10.5751371383667 norm=135.95237731933594 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=11 x_t: shape=(32, 5, 1) dtype=float32 min=-54.170875549316406 max=34.11631393432617 mean=-2.0152153968811035 std=11.458351135253906 norm=147.16244506835938 nan=0 inf=0
2026-03-04 13:39:48 | DEBUG | bench.models.kalmannet_tsp | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=kalmannet_tsp track_id=frozen init_id=untrained seed=0] forward t=12 x_t: shape=(32, 5, 1) dtype=float32 min=-58.23701477050781 max=37.225303649902344 mean=-2.072521448135376 std=12.16131591796875 norm=156.04766845703125 nan=0 inf=0
