suite,task_id,model_id,init_id,track_id,n_total,n_success,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate
linear_multimodel_compare,A_linear_stationary_compare_v0,adaptive_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,kalmannet_tsp,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,maml_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,nominal_kf,pretrained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,oracle_kf,pretrained,frozen,4,1,,,0.2614918460021727,0.2614918460021727,,,0.2614918460021727,0.2614918460021727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
linear_multimodel_compare,A_linear_stationary_compare_v0,oracle_shift_kf,pretrained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,A_linear_stationary_compare_v0,split_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,adaptive_knet,trained,budgeted,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,adaptive_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,kalmannet_tsp,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,maml_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,nominal_kf,pretrained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,oracle_kf,pretrained,frozen,4,1,,,0.21562134601117577,0.21562134601117577,,,0.21562134601117577,0.21562134601117577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
linear_multimodel_compare,B_linear_shift_compare_v0,oracle_shift_kf,pretrained,frozen,3,0,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,split_knet,trained,frozen,3,0,,,,,,,,,,,,,,,,,
