2026-03-04 13:39:37 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:38 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Set CUBLAS_WORKSPACE_CONFIG=:4096:8 for deterministic CUDA
2026-03-04 13:39:38 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:38 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-240.40830993652344 max=359.00128173828125 mean=1.7527105808258057 std=34.30096435546875 norm=4344.4267578125 nan=0 inf=0
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-243.47166442871094 max=362.7586669921875 mean=3.4279754161834717 std=48.89191436767578 norm=6199.57421875 nan=0 inf=0
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-526.503662109375 max=258.0679626464844 mean=-7.224045276641846 std=52.72273254394531 norm=6731.26806640625 nan=0 inf=0
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-528.676025390625 max=260.82537841796875 mean=-14.462057113647461 std=74.45738220214844 norm=9594.2080078125 nan=0 inf=0
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-439.21856689453125 max=315.8969421386719 mean=-7.720253944396973 std=53.19749069213867 norm=6799.5 nan=0 inf=0
2026-03-04 13:39:38 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-440.7507629394531 max=318.3961181640625 mean=-15.388925552368164 std=75.04656982421875 norm=9690.2470703125 nan=0 inf=0
2026-03-04 13:39:38 | INFO | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] setup mode=nominal device=cuda x_dim=5 y_dim=5 t0_shift=None R_scale=1.0 layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:38 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] Adapter ready class=bench.models.mb_kf:ModelBasedKFAdapter layout=bench_BTD_to_repo_BTD version=s10_kf_baseline_v1
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] predict input shape=(32, 100, 5) mode=nominal layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=0 x_post: shape=(32, 5, 1) dtype=float32 min=-2.608760118484497 max=3.586409091949463 mean=0.038574423640966415 std=0.6832085251808167 norm=8.655743598937988 nan=0 inf=0 innov_norm=43.581600189208984 K_norm=2.1325550079345703
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=1 x_post: shape=(32, 5, 1) dtype=float32 min=-5.2896623611450195 max=6.8509202003479 mean=-0.03139927238225937 std=1.3292557001113892 norm=16.818593978881836 nan=0 inf=0 innov_norm=48.548500061035156 K_norm=2.15226411819458
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=2 x_post: shape=(32, 5, 1) dtype=float32 min=-9.041596412658691 max=8.563583374023438 mean=-0.21486163139343262 std=1.9387032985687256 norm=24.673017501831055 nan=0 inf=0 innov_norm=51.27548599243164 K_norm=1.992651104927063
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=3 x_post: shape=(32, 5, 1) dtype=float32 min=-14.559017181396484 max=9.57612133026123 mean=-0.44219741225242615 std=2.6750528812408447 norm=34.296234130859375 nan=0 inf=0 innov_norm=43.88767623901367 K_norm=1.813200831413269
2026-03-04 13:39:38 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=ebdd3128c726 model_id=mb_kf_nominal track_id=frozen init_id=untrained seed=0] kf t=4 x_post: shape=(32, 5, 1) dtype=float32 min=-18.075559616088867 max=12.806208610534668 mean=-0.6282981634140015 std=3.4620954990386963 norm=44.50773239135742 nan=0 inf=0 innov_norm=45.67143249511719 K_norm=1.6518715620040894
