2026-03-04 13:39:33 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Starting run device=cuda precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:39:33 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Loaded test split shapes x=(200, 100, 5) y=(200, 100, 5) dims=(N=200,T=100,Dx=5,Dy=5)
2026-03-04 13:39:33 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change"}
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] train first batch
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-361.2237854003906 max=353.18670654296875 mean=-0.7024409770965576 std=42.76396942138672 norm=5409.99072265625 nan=0 inf=0
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-364.39385986328125 max=356.7531433105469 mean=-1.3141387701034546 std=60.92287063598633 norm=7707.9921875 nan=0 inf=0
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] val first batch
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-458.2386779785156 max=415.09478759765625 mean=0.37264320254325867 std=57.58000946044922 norm=7283.5107421875 nan=0 inf=0
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-462.8486022949219 max=419.9124450683594 mean=0.7913312911987305 std=82.04131317138672 norm=10377.9775390625 nan=0 inf=0
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] test first batch
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] x: shape=(32, 100, 5) dtype=float32 min=-451.2320861816406 max=308.77056884765625 mean=-3.2259953022003174 std=52.46253204345703 norm=6648.57763671875 nan=0 inf=0
2026-03-04 13:39:33 | DEBUG | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] y: shape=(32, 100, 5) dtype=float32 min=-455.80621337890625 max=311.85137939453125 mean=-6.465804576873779 std=74.62775421142578 norm=9475.109375 nan=0 inf=0
2026-03-04 13:39:33 | INFO | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] setup mode=oracle device=cuda x_dim=5 y_dim=5 t0_shift=None R_scale=1.0 layout=bench_BTD_to_repo_BTD
2026-03-04 13:39:33 | INFO | bench.__main__ | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] Adapter ready class=bench.models.mb_kf:ModelBasedKFAdapter layout=bench_BTD_to_repo_BTD version=s10_kf_baseline_v1
2026-03-04 13:39:33 | DEBUG | bench.models.mb_kf | [task_id=A_linear_canonical_v0 scenario_id=e430cbdcf2b5 model_id=mb_kf_oracle track_id=frozen init_id=untrained seed=0] predict input shape=(32, 100, 5) mode=oracle layout=bench_BTD_to_repo_BTD
