status,suite,task_id,scenario_id,seed,model_id,track_id,init_id,mse,rmse,mse_db,timing_ms_per_step,recovery_k,run_dir,error
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,budget_overflow
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,,trained,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,trained,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,trained,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,trained,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
failed,adapt_smoke_overflow,C_shift_adapt_smoke_v0,24d2d67c3570,0,adaptive_knet,budgeted,trained,,,,,,/home/xynus/bench/runs/adapt_smoke_overflow/C_shift_adapt_smoke_v0/adaptive_knet/budgeted/seed_0/scenario_24d2d67c3570,"RuntimeError: budget_overflow: adapt max_updates=0 exhausted before t=8 (allowed_after_t0_only=True, t0=8)"
