2026-03-04 13:18:01 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:01 | ERROR | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Missing test split: /home/xynus/bench/bench_data_cache/all_simple_tiny/C_shift_Rscale_v0/scenario_f6d0afa85860/seed_0/test.npz
2026-03-04 13:18:20 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Starting run device=cpu precision=fp32 deterministic=True resolved_from_cache=False
2026-03-04 13:18:21 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Loaded test split shapes x=(24, 60, 5) y=(24, 60, 5) dims=(N=24,T=60,Dx=5,Dy=5)
2026-03-04 13:18:21 | INFO | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] Shift/noise metadata: {"noise_schedule_keys": ["SoW_hat_t", "SoW_t", "enabled", "kind", "params", "q2_t", "r2_t", "sow", "sow_hat", "storage"], "noise_schedule_kind": "step_change", "post_shift_R_scale": 3.0, "pre_shift_r2": 10.0, "t0": 30}
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] train first batch
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-251.90689086914062 max=252.3368682861328 mean=1.8227803707122803 std=35.875396728515625 norm=2488.7265625 nan=0 inf=0
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-251.40682983398438 max=263.8802185058594 mean=3.628528356552124 std=51.369754791259766 norm=3567.86865234375 nan=0 inf=0
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] val first batch
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] x: shape=(16, 60, 5) dtype=float32 min=-234.611083984375 max=202.097412109375 mean=-3.408125877380371 std=31.106075286865234 norm=2167.989013671875 nan=0 inf=0
2026-03-04 13:18:21 | DEBUG | bench.__main__ | [task_id=C_shift_Rscale_v0 scenario_id=f6d0afa85860 model_id=adaptive_knet track_id=budgeted init_id=trained seed=0] y: shape=(16, 60, 5) dtype=float32 min=-235.263916015625 max=213.52520751953125 mean=-6.6466522216796875 std=44.58934020996094 norm=3123.373046875 nan=0 inf=0
