suite,task_id,scenario_id,seed,model_id,status__untrained__frozen,failure_type__untrained__frozen,failure_stage__untrained__frozen,mse_db__untrained__frozen,recovery_k__untrained__frozen,train_updates_used__untrained__frozen,adapt_updates_used__untrained__frozen,total_time_s__untrained__frozen,cache_hit__untrained__frozen,delta_mse_db_trained_budgeted_minus_frozen,delta_recovery_k_trained_budgeted_minus_frozen
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,0,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,1,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,0,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,C_shift_Rscale_full_compare_v0,931aa5e582bb,1,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,0,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_Jmismatch_full_compare_v0,5dfca19c7755,1,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,0,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,1,adaptive_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,1,kalmannet_tsp,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,1,maml_knet,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,1,mb_kf_nominal,missing_data,io_error,data_loading,,,,,,,,
full_compare,TG5_lorenz_fullinfo_full_compare_v0,9b73c2c34457,1,mb_kf_oracle,missing_data,io_error,data_loading,,,,,,,,
