suite,task_id,model_id,init_id,track_id,failure_type,fail_count,n_total,fail_rate
full_compare,A_linear_full_compare_v0,adaptive_knet,trained,budgeted,,0,1,0.0
full_compare,A_linear_full_compare_v0,adaptive_knet,trained,frozen,,0,1,0.0
full_compare,A_linear_full_compare_v0,adaptive_knet,untrained,frozen,,0,2,0.0
full_compare,A_linear_full_compare_v0,kalmannet_tsp,trained,budgeted,,0,1,0.0
full_compare,A_linear_full_compare_v0,kalmannet_tsp,trained,frozen,,0,1,0.0
full_compare,A_linear_full_compare_v0,kalmannet_tsp,untrained,frozen,,0,2,0.0
full_compare,A_linear_full_compare_v0,maml_knet,trained,budgeted,train_nan,1,1,1.0
full_compare,A_linear_full_compare_v0,maml_knet,trained,frozen,train_nan,1,1,1.0
full_compare,A_linear_full_compare_v0,maml_knet,untrained,frozen,,0,2,0.0
full_compare,A_linear_full_compare_v0,mb_kf_nominal,trained,budgeted,,0,1,0.0
full_compare,A_linear_full_compare_v0,mb_kf_nominal,trained,frozen,policy_violation,1,1,1.0
full_compare,A_linear_full_compare_v0,mb_kf_nominal,untrained,frozen,,0,2,0.0
full_compare,A_linear_full_compare_v0,mb_kf_oracle,trained,budgeted,,0,1,0.0
full_compare,A_linear_full_compare_v0,mb_kf_oracle,trained,frozen,policy_violation,1,1,1.0
full_compare,A_linear_full_compare_v0,mb_kf_oracle,untrained,frozen,,0,2,0.0
full_compare,C_shift_Rscale_full_compare_v0,adaptive_knet,trained,budgeted,,0,1,0.0
full_compare,C_shift_Rscale_full_compare_v0,adaptive_knet,trained,frozen,,0,1,0.0
full_compare,C_shift_Rscale_full_compare_v0,adaptive_knet,untrained,frozen,,0,2,0.0
full_compare,C_shift_Rscale_full_compare_v0,kalmannet_tsp,trained,budgeted,,0,1,0.0
full_compare,C_shift_Rscale_full_compare_v0,kalmannet_tsp,trained,frozen,,0,1,0.0
full_compare,C_shift_Rscale_full_compare_v0,kalmannet_tsp,untrained,frozen,,0,2,0.0
full_compare,C_shift_Rscale_full_compare_v0,maml_knet,trained,budgeted,train_nan,1,1,1.0
full_compare,C_shift_Rscale_full_compare_v0,maml_knet,trained,frozen,train_nan,1,1,1.0
full_compare,C_shift_Rscale_full_compare_v0,maml_knet,untrained,frozen,,0,2,0.0
