suite,task_id,scenario_id,model_id,init_id,track_id,track,n_success,n_total,fail_count,fail_rate,failure_type,mse_mean,mse_std,mse_sem,mse_ci95,mse_db_mean,mse_db_std,mse_db_sem,mse_db_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,timing_ms_per_step_mean,timing_ms_per_step_std,timing_ms_per_step_sem,timing_ms_per_step_ci95,recovery_k_mean,recovery_k_std,recovery_k_sem,recovery_k_ci95,nll_mean,nll_std,nll_sem,nll_ci95,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate,severity_r_scale_mean,t0_mean
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,adaptive_knet,unknown,budgeted,budgeted,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,adaptive_knet,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,kalmannet_tsp,unknown,budgeted,budgeted,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,kalmannet_tsp,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,adaptive_knet,trained,budgeted,budgeted,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,adaptive_knet,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,kalmannet_tsp,trained,budgeted,budgeted,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,kalmannet_tsp,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,kalmannet_tsp,untrained,frozen,frozen,1,1,0,0.0,,237616544.0,0.0,0.0,0.0,83.75876675020338,0.0,0.0,0.0,15414.815730329052,0.0,0.0,0.0,0.018830906119641593,0.0,0.0,0.0,60.0,0.0,0.0,0.0,,,,,,,0.28924271799769485,0.28924271799769485,,,0.28924271799769485,0.28924271799769485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,60.0
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,adaptive_knet,unknown,budgeted,budgeted,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,adaptive_knet,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,kalmannet_tsp,unknown,budgeted,budgeted,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,kalmannet_tsp,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,d951006a3e97,adaptive_knet,trained,budgeted,budgeted,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,d951006a3e97,adaptive_knet,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,d951006a3e97,kalmannet_tsp,trained,budgeted,budgeted,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,d951006a3e97,kalmannet_tsp,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
shift_light,C_shift_Rscale_light_v0,d951006a3e97,kalmannet_tsp,untrained,frozen,frozen,1,1,0,0.0,,112041064.0,0.0,0.0,0.0,80.49377224456552,0.0,0.0,0.0,10584.945158100725,0.0,0.0,0.0,0.015155554752747472,0.0,0.0,0.0,60.0,0.0,0.0,0.0,,,,,,,0.23278932100220118,0.23278932100220118,,,0.23278932100220118,0.23278932100220118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,60.0
